activity_id,id,name,category,sector,source,source_link,source_dataset,uncertainty,year,year_released,region,region_name,description,unit_type,unit,source_lca_activity,data_quality_flags,access_type,supported_calculation_methods,factor,factor_calculation_method,factor_calculation_origin,constituent_gases.co2e_total,constituent_gases.co2e_other,constituent_gases.co2,constituent_gases.ch4,constituent_gases.n2o
construction-type_construction_work,93b2d8b5-c6f6-43de-9131-bfad54cc62d6,Construction work,Construction,Buildings and Infrastructure,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,US,United States,Emission intensity of supply chain in EUR spend on: construction work. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.2708,ar5,source,0.2708,,,,
building_materials-type_bricks_tiles_construction_products_in_baked_clay,dcf2c460-3838-485e-b198-d305dab432a8,Bricks/tiles and construction products in baked clay,Building Materials,Materials and Manufacturing,EXIOBASE,https://zenodo.org/record/5589597#.Yh9_Zi8w1ao,EXIOBASE 3,,2019,2021,US,United States,Emission intensity of supply chain in EUR spend on: bricks/tiles and construction products in baked clay. Retrieved from the EXIOBASE v3.8.2 model outputs for products. These factors were calculated based on 2019 data. CO2 equivalent factors incorporate emissions from land use; constituent gases have not been included as they do not. The LCA boundaries of these factors are not defined by the source. These factors include effects of international trade.,Money,kg/eur,unknown,[],public,"['ar4', 'ar5']",0.5884,ar5,source,0.5884,,,,
machinery-type_construction_machinery,30827b38-bff7-4dd8-9988-da6baab16d43,Construction machinery,Machinery,Equipment,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: construction machinery. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.268,ar4,climatiq,,0.006,0.237,0.001,0.0
construction-type_commercial_structures_incl_farm_structures,bca8e62d-f4bc-4e9d-9234-bbac9bb4e536,Commercial structures/including farm structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: commercial structures/including farm structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.264,ar4,climatiq,,0.032,0.207,0.001,0.0
construction-type_educational_vocational_structures,1d97bfb4-8f93-4bb6-a8e8-df95c8e9036e,Educational and vocational structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: educational and vocational structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.256,ar4,climatiq,,0.032,0.199,0.001,0.0
construction-type_health_care_structures,f78368cd-9d4e-49e3-b8c7-d68fb950dfcd,Health care structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: health care structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.27799999999999997,ar4,climatiq,,0.037,0.216,0.001,0.0
construction-type_manufacturing_structures,1c9a7221-71ef-491a-9dbd-5ba3a3a3bc4d,Manufacturing structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: manufacturing structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.327,ar4,climatiq,,0.017,0.285,0.001,0.0
construction-type_multifamily_residential_structures,f9f886fb-36ba-4256-a626-c93723ac3442,Multifamily residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: multifamily residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.085,ar4,climatiq,,0.005,0.08,0.0,0.0
construction-type_other_nonresidential_structures,6ff8a4ad-70bf-449d-8c74-25e7a6e9eb90,Other nonresidential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: other nonresidential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.337,ar4,climatiq,,0.015,0.297,0.001,0.0
construction-type_other_residential_structures,c08c7232-97b0-4176-847a-f9338feb9ce0,Other residential structures,Construction,Buildings and Infrastructure,EPA,https://cfpub.epa.gov/si/si_public_record_Report.cfm?dirEntryId=349324&Lab=CESER,Supply Chain Factors Dataset (commodities),,2018,2022,US,United States,Emission intensity of supply chain (with margins i.e. cradle to shelf) in US dollars spend on: other residential structures. This factor is representative of the described commodity (equivalent to a goods or services category) and was obtained from the USEEIO model v1.0.1. Refer to the source for the source-specific data quality assessment. Retrieved from Supply Chain Factors Dataset v1.1.1,Money,kg/usd,cradle_to_shelf,[],public,['ar4'],0.30900000000000005,ar4,climatiq,,0.02,0.264,0.001,0.0
